bench,t,i,a,len,method,time (ns)
con_iter_copied,1,1,1,4096,slice,941729
con_iter_copied,2,1,2,4096,copied,1030033
con_iter_copied,3,2,1,65536,slice,10308648
con_iter_copied,4,2,2,65536,copied,9105519
con_iter_of_iter,1,1,1,4096,seq,1206254
con_iter_of_iter,2,1,2,4096,rayon,2694265
con_iter_of_iter,3,1,3,4096,orx,1970174
con_iter_of_iter,4,1,4,4096,orx-c64,962976
con_iter_of_iter,5,2,1,65536,seq,25931565
con_iter_of_iter,6,2,2,65536,rayon,22039898
con_iter_of_iter,7,2,3,65536,orx,26617474
con_iter_of_iter,8,2,4,65536,orx-c64,7856610
con_iter_of_iter_small,1,1,1,4096,seq,261312
con_iter_of_iter_small,2,1,2,4096,rayon,2346026
con_iter_of_iter_small,3,1,3,4096,orx,1352590
con_iter_of_iter_small,4,1,4,4096,orx-c64,550141
con_iter_of_iter_small,5,2,1,65536,seq,4544577
con_iter_of_iter_small,6,2,2,65536,rayon,19366086
con_iter_of_iter_small,7,2,3,65536,orx,26042400
con_iter_of_iter_small,8,2,4,65536,orx-c64,2355728
con_iter_of_range,1,1,1,4096,seq,1152141
con_iter_of_range,2,1,2,4096,rayon,8083957
con_iter_of_range,3,1,3,4096,orx,1144788
con_iter_of_range,4,1,4,4096,orx-c64,1585178
con_iter_of_range,5,2,1,65536,seq,25425620
con_iter_of_range,6,2,2,65536,rayon,21526428
con_iter_of_range,7,2,3,65536,orx,9291394
con_iter_of_range,8,2,4,65536,orx-c64,8693638
con_iter_of_slice,1,1,1,4096,seq,1313222
con_iter_of_slice,2,1,2,4096,rayon,8768407
con_iter_of_slice,3,1,3,4096,orx,1360594
con_iter_of_slice,4,1,4,4096,orx-c64,1348860
con_iter_of_slice,5,2,1,65536,seq,29950093
con_iter_of_slice,6,2,2,65536,rayon,23603284
con_iter_of_slice,7,2,3,65536,orx,10513830
con_iter_of_slice,8,2,4,65536,orx-c64,9701304
con_iter_of_slice_mut,1,1,1,4096,seq,1568926
con_iter_of_slice_mut,2,1,2,4096,rayon,9570530
con_iter_of_slice_mut,3,1,3,4096,orx,1232938
con_iter_of_slice_mut,4,1,4,4096,orx-c64,1226702
con_iter_of_slice_mut,5,2,1,65536,seq,29255612
con_iter_of_slice_mut,6,2,2,65536,rayon,23988129
con_iter_of_slice_mut,7,2,3,65536,orx,12109926
con_iter_of_slice_mut,8,2,4,65536,orx-c64,10057670
con_iter_of_vec,1,1,1,4096,seq,1452740
con_iter_of_vec,2,1,2,4096,rayon,10271620
con_iter_of_vec,3,1,3,4096,orx,1420738
con_iter_of_vec,4,1,4,4096,orx-c64,1272615
con_iter_of_vec,5,2,1,65536,seq,30865645
con_iter_of_vec,6,2,2,65536,rayon,24817615
con_iter_of_vec,7,2,3,65536,orx,11300992
con_iter_of_vec,8,2,4,65536,orx-c64,10119774
con_iter_of_vec_deque_ref,1,1,1,4096,seq,1483551
con_iter_of_vec_deque_ref,2,1,2,4096,rayon,9609721
con_iter_of_vec_deque_ref,3,1,3,4096,orx,1261396
con_iter_of_vec_deque_ref,4,1,4,4096,orx-c64,1212847
con_iter_of_vec_deque_ref,5,2,1,65536,seq,32419228
con_iter_of_vec_deque_ref,6,2,2,65536,rayon,23230418
con_iter_of_vec_deque_ref,7,2,3,65536,orx,11387557
con_iter_of_vec_deque_ref,8,2,4,65536,orx-c64,9852154
con_iter_of_vec_drain,1,1,1,4096,seq,1638850
con_iter_of_vec_drain,2,1,2,4096,rayon,18233122
con_iter_of_vec_drain,3,1,3,4096,orx,1533340
con_iter_of_vec_drain,4,1,4,4096,orx-c64,1258991
con_iter_of_vec_drain,5,2,1,65536,seq,38802456
con_iter_of_vec_drain,6,2,2,65536,rayon,37452185
con_iter_of_vec_drain,7,2,3,65536,orx,10589642
con_iter_of_vec_drain,8,2,4,65536,orx-c64,12015805
